0, 44
0, 99
1, 8
1, 32
1, 73
1, 77
1, 79
1, 85
2, 19
2, 75
2, 86
2, 87
3, 43
3, 53
3, 72
3, 95
4, 39
4, 59
4, 98
5, 20
5, 39
5, 42
5, 68
5, 69
6, 11
6, 38
6, 44
6, 51
7, 8
7, 13
7, 16
7, 74
7, 88
7, 95
8, 17
8, 20
8, 40
8, 80
8, 93
8, 99
9, 10
9, 22
9, 24
9, 30
9, 43
9, 52
9, 70
10, 21
10, 45
10, 53
10, 65
10, 70
11, 42
11, 66
11, 73
11, 79
11, 84
11, 88
11, 90
11, 92
11, 93
11, 96
12, 24
12, 34
12, 71
12, 74
12, 80
12, 88
12, 99
13, 27
13, 38
13, 88
14, 16
14, 17
14, 20
14, 42
14, 53
14, 76
14, 80
14, 83
14, 86
14, 99
15, 73
15, 81
16, 24
16, 62
16, 68
16, 74
17, 24
17, 32
17, 35
17, 81
17, 86
18, 45
18, 71
18, 76
19, 39
19, 56
19, 69
19, 89
19, 92
19, 97
20, 27
20, 39
20, 44
20, 52
20, 67
20, 76
21, 22
21, 61
21, 81
21, 86
22, 37
22, 83
22, 91
23, 86
23, 94
24, 27
24, 48
24, 64
24, 86
24, 92
24, 97
25, 64
25, 75
25, 92
26, 40
26, 95
27, 38
27, 40
28, 39
28, 54
29, 33
29, 65
29, 67
29, 76
29, 91
30, 36
30, 59
30, 60
31, 37
31, 47
31, 48
31, 56
31, 86
32, 49
32, 57
33, 53
33, 77
33, 79
33, 92
33, 97
34, 46
34, 68
34, 74
34, 78
35, 54
35, 57
35, 77
35, 80
36, 62
36, 75
36, 76
36, 86
37, 41
37, 42
37, 58
37, 88
38, 43
38, 61
38, 77
38, 91
39, 51
39, 70
40, 46
40, 50
40, 61
40, 67
40, 88
40, 93
41, 56
41, 65
42, 96
43, 70
43, 95
43, 96
44, 79
44, 88
45, 61
45, 76
45, 87
46, 81
46, 83
47, 63
47, 94
48, 64
48, 93
49, 74
50, 59
50, 61
50, 98
51, 62
51, 67
51, 68
52, 70
53, 57
54, 59
54, 60
54, 68
54, 83
54, 84
54, 91
54, 97
55, 89
55, 96
55, 97
56, 58
56, 76
56, 97
57, 60
58, 90
58, 99
59, 88
59, 90
59, 98
61, 69
62, 70
62, 95
63, 83
63, 85
64, 87
64, 91
65, 87
65, 99
67, 83
67, 86
68, 80
69, 98
70, 78
71, 72
71, 74
72, 80
73, 94
74, 76
74, 89
74, 90
74, 99
75, 86
76, 82
77, 99
78, 85
78, 88
79, 89
79, 97
80, 93
81, 98
82, 85
82, 87
82, 94
84, 94
92, 94
95, 99
